"Frequency / Hz","Vm3:Measured voltage","Am1:Measured current"
0,34.564913528591042,65.131000719189842
29.999999999026922,0.0051529968730784628,0.12373358100168648
59.999999998053845,0.0041531639804198526,0.078739117946419884
89.999999997080764,0.0040197647931782274,0.051242821492343861
119.99999999610769,0.0046246777326957225,0.044879203385373635
149.9999999951346,4.0593560361673724,90.385866851775447
179.99999999416153,0.0036327589829759531,0.065298327030917896
209.99999999318845,0.0024692197147593506,0.052227782548305277
239.99999999221538,0.0019762956182332097,0.042869342410618329
269.9999999912423,0.001857563979376399,0.041364505460915121
299.9999999902692,0.79401359495271828,19.56755651342424
329.99999998929616,0.00084114345961727667,0.043463073293802397
359.99999998832305,0.00032483979010932058,0.032871746645639868
389.99999998735001,0.00028110449322464863,0.022842175288607533
419.99999998637691,0.00068185684833587876,0.011832738539465355
449.99999998540386,0.41931465752965269,10.939851321555862
479.99999998443076,0.0011525026488305255,0.028948975646035643
509.99999998345766,0.00098931821169500321,0.029193048342452482
539.99999998248461,0.00096025698569840651,0.029434326014108777
569.99999998151156,0.0010778317573603747,0.034614740807806348
599.9999999805384,0.097691303413927788,2.3266520116657521
