"Time / s","Vm3:Measured voltage","Am1:Measured current"
0,29.962470551664101,60
1.0000000000000001e-05,29.982851357327824,60
2.0000000000000002e-05,30.00302288802861,60
3.0000000000000004e-05,30.022985188101309,60
4.0000000000000003e-05,30.042738350433048,60
5.0000000000000002e-05,30.062282516377021,60
6.0000000000000002e-05,30.081617875621408,60
7.0000000000000007e-05,30.100744666013664,60
8.0000000000000007e-05,30.11966317334057,60
9.0000000000000006e-05,30.138373731064398,60
0.0001,30.15687672001582,60
0.00011,30.175172568044033,60
0.00012,30.193261749624885,60
0.00013000000000000002,30.211144785427699,60
0.00014000000000000001,30.228822241841641,60
0.00015000000000000001,30.246294730462591,60
0.00016000000000000001,30.263562907541381,60
0.00017000000000000001,30.280627473394603,60
0.00018000000000000001,30.297489171778938,60
0.00019000000000000001,30.314148789230295,60
0.00020000000000000001,30.330607154368934,60
0.00021000000000000001,30.346865137171861,60
0.00022000000000000001,30.362923648213808,60
0.00023000000000000001,30.378783637878232,60
0.00024000000000000001,30.394446095539656,60
0.00025000000000000001,30.409912048718873,60
0.00026000000000000003,30.425182562212491,60
0.00027000000000000006,30.440258737198281,60
0.00028000000000000008,30.455141710317907,60
0.00029000000000000011,30.469832652738596,60
0.00030000000000000014,30.484332769195277,60
0.00031000000000000016,30.498643297014794,60
0.00032000000000000019,30.512765505123795,60
0.00033000000000000022,30.526700693041843,60
0.00034000000000000024,30.54045018986136,60
0.00035000000000000027,30.554015353216023,60
0.00036000000000000029,30.567397568239077,60
0.00037000000000000032,30.580598246513258,60
0.00038000000000000035,30.593618825013753,60
0.00039000000000000037,30.606460765045789,60
0.0004000000000000004,30.619125551178335,60
0.00041000000000000042,30.631614690175361,60
0.00042000000000000045,30.643929709926137,60
0.00043000000000000048,30.656072158375945,60
0.0004400000000000005,30.668043602458624,60
0.00045000000000000053,30.679845627032243,60
0.00046000000000000056,30.69147983381923,60
0.00047000000000000058,30.70294784035222,60
0.00048000000000000061,30.714251278926792,60
0.00049000000000000063,30.725391795562349,60
0.00050000000000000066,30.736371048972181,60
0.00051000000000000069,30.747190709543855,60
0.00052000000000000071,30.757852458330916,60
0.00053000000000000074,30.768357986056902,60
0.00054000000000000077,30.778708992132625,60
0.00055000000000000079,30.788907183687542,60
0.00056000000000000082,30.798954274616108,60
0.00057000000000000084,30.808851984639848,60
0.00058000000000000087,30.818602038385905,60
0.0005900000000000009,30.828206164482712,60
0.00060000000000000092,30.837666094673455,60
0.00061000000000000095,30.846983562947866,60
0.00062000000000000098,30.856160304692896,60
0.000630000000000001,30.865198055862745,60
0.00064000000000000103,30.874098552168672,60
0.00065000000000000105,30.882863528288986,60
0.00066000000000000108,30.891494717099519,60
0.00067000000000000111,30.899993848924932,60
0.00068000000000000113,30.908362650811036,60
0.00069000000000000116,30.916602845818385,60
0.00070000000000000119,30.92471615233729,60
0.00071000000000000121,30.932704283424343,60
0.00072000000000000124,30.940568946160614,60
0.00073000000000000126,30.948311841031472,60
0.00074000000000000129,30.955934661328119,60
0.00075000000000000132,30.963439092570773,60
0.00076000000000000134,30.970826811953465,60
0.00077000000000000137,30.978099487810322,60
0.0007800000000000014,30.985258779103297,60
0.00079000000000000142,30.992306334931101,60
0.00080000000000000145,30.999243794059247,60
0.00081000000000000147,31.006072784470948,60
0.0008200000000000015,31.012794922938703,60
0.00083000000000000153,31.019411814616266,60
0.00084000000000000155,31.025925052650781,60
0.00085000000000000158,31.032336217814766,60
0.00086000000000000161,31.038646878157678,60
0.00087000000000000163,31.044858588676689,60
0.00088000000000000166,31.050972891006392,60
0.00089000000000000168,31.056991313127057,60
0.00090000000000000171,31.06291536909108,60
0.00091000000000000174,31.068746558767266,60
0.00092000000000000176,31.074486367602546,60
0.00093000000000000179,31.080136266400753,60
0.00094000000000000182,31.085697711118062,60
0.00095000000000000184,31.091172142674655,60
0.00096000000000000187,31.096560986782258,60
0.00097000000000000189,31.101865653787076,60
0.00098000000000000192,31.107087538527765,60
0.00099000000000000195,31.112228020207951,60
0.001000000000000002,31.117288462282964,60
0.001010000000000002,31.12227021236027,60
0.001020000000000002,31.127174602113254,60
0.0010300000000000021,31.132002947207884,60
0.0010400000000000021,31.136756547241859,60
0.0010500000000000021,31.141436685695801,60
0.0010600000000000021,31.146044629896121,60
0.0010700000000000022,31.15058163098908,60
0.0010800000000000022,31.15504892392569,60
0.0010900000000000022,31.159447727457025,60
0.0011000000000000022,31.163779244139558,60
0.0011100000000000023,31.168044660350109,60
0.0011200000000000023,31.17224514631004,60
0.0011300000000000023,31.176381856118294,60
0.0011400000000000023,31.180455927792899,60
0.0011500000000000024,31.184468483320611,60
0.0011600000000000024,31.188420628714262,60
0.0011700000000000024,31.192313454077521,60
0.0011800000000000024,31.196148033676678,60
0.0011900000000000025,31.199925426019142,60
0.0012000000000000025,31.203646673938291,60
0.0012100000000000025,31.207312804684367,60
0.0012200000000000025,31.210924830021092,60
0.0012300000000000026,31.214483746327687,60
0.0012400000000000026,31.217990534706018,60
0.0012500000000000026,31.221446161092562,60
0.0012600000000000027,31.22485157637486,60
0.0012700000000000027,31.228207716512294,60
0.0012800000000000027,31.23151550266078,60
0.0012900000000000027,31.234775841301236,60
0.0013000000000000028,31.237989624371483,60
0.0013100000000000028,31.241157729401408,60
0.0013200000000000028,31.244281019651062,60
0.0013300000000000028,31.247360344251568,60
0.0013400000000000029,31.250396538348539,60
0.0013500000000000029,31.253390423247808,60
0.0013600000000000029,31.256342806563296,60
0.0013700000000000029,31.259254482366785,60
0.001380000000000003,31.262126231339401,60
